2020-04-23 11:06:42 install debconf:all <none> 1.5.73
2020-04-23 11:06:42 status half-installed debconf:all 1.5.73
2020-04-23 11:06:42 status unpacked debconf:all 1.5.73
2020-04-23 11:06:42 install debianutils:amd64 <none> 4.9.1
2020-04-23 11:06:42 status half-installed debianutils:amd64 4.9.1
2020-04-23 11:06:42 status unpacked debianutils:amd64 4.9.1
2020-04-23 11:06:42 install diffutils:amd64 <none> 1:3.7-3
2020-04-23 11:06:42 status half-installed diffutils:amd64 1:3.7-3
2020-04-23 11:06:42 status unpacked diffutils:amd64 1:3.7-3
2020-04-23 11:06:42 upgrade dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2020-04-23 11:06:42 status half-configured dpkg:amd64 1.19.7ubuntu3
2020-04-23 11:06:42 status unpacked dpkg:amd64 1.19.7ubuntu3
2020-04-23 11:06:42 status half-installed dpkg:amd64 1.19.7ubuntu3
2020-04-23 11:06:42 status unpacked dpkg:amd64 1.19.7ubuntu3
2020-04-23 11:06:42 install e2fsprogs:amd64 <none> 1.45.5-2ubuntu1
2020-04-23 11:06:42 status half-installed e2fsprogs:amd64 1.45.5-2ubuntu1
2020-04-23 11:06:42 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2020-04-23 11:06:42 install fdisk:amd64 <none> 2.34-0.1ubuntu9
2020-04-23 11:06:42 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:42 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:42 install findutils:amd64 <none> 4.7.0-1ubuntu1
2020-04-23 11:06:42 status half-installed findutils:amd64 4.7.0-1ubuntu1
2020-04-23 11:06:42 status unpacked findutils:amd64 4.7.0-1ubuntu1
2020-04-23 11:06:42 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2020-04-23 11:06:42 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2020-04-23 11:06:42 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2020-04-23 11:06:42 install grep:amd64 <none> 3.4-1
2020-04-23 11:06:42 status half-installed grep:amd64 3.4-1
2020-04-23 11:06:42 status unpacked grep:amd64 3.4-1
